Year,Region,Annual_CO2_Mean,Annual_CI_Lower,Annual_CI_Upper,Cumulative_CO2_Mean,Cumulative_CI_Lower,Cumulative_CI_Upper
2067,East Asia & Pacific,0.2297888363522131,0.16147691929626506,0.2981007534081611,5.135613354501183,4.752102580625139,5.519124128377228
2068,East Asia & Pacific,0.23076978862874645,0.16302086808926708,0.2985187091682258,5.366383143129929,4.976934263412363,5.755832022847496
2069,East Asia & Pacific,0.23161886229828024,0.16443007417677366,0.2988076504197868,5.598002005428209,5.202799825319718,5.9932041855367
2070,East Asia & Pacific,0.23232833277984538,0.1656524116899866,0.2990042538697042,5.8303303382080545,5.429543060945309,6.231117615470801
2071,East Asia & Pacific,0.23287590251375453,0.16659975768814023,0.2991520473393689,6.06320624072181,5.656976048603313,6.469436432840307
2072,East Asia & Pacific,0.2332637923671612,0.16724555500328106,0.2992820297310413,6.29647003308897,5.884910345251028,6.708029720926913
2073,East Asia & Pacific,0.2335410338470913,0.1676713038340654,0.2994107638601171,6.530011066936062,6.113213516577073,6.9468086172950505
2074,East Asia & Pacific,0.2336879058136218,0.16796559625729662,0.299410215369947,6.763698972749683,6.34175155901348,7.185646386485886
2075,East Asia & Pacific,0.23380571603254413,0.16820043429453682,0.29941099777055147,6.997504688782228,6.570487507686907,7.424521869877548
2076,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,7.231420880090266,6.799409920900816,7.663431839279716
2077,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,7.465337071398305,7.028389403171337,7.902284739625273
2078,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,7.6992532627063435,7.2574240415380515,8.141082483874635
2079,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,7.933169454014382,7.486512027581805,8.379826880446961
2080,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,8.167085645322421,7.7156516495970555,8.618519641047786
2081,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,8.40100183663046,7.9448412855020605,8.857162387758859
2082,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,8.6349180279385,8.1740793964036,9.0957566594734
2083,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,8.868834219246539,8.403364520743882,9.334303917749194
2084,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,9.102750410554577,8.63269526896654,9.572805552142615
2085,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,9.336666601862616,8.862070318646508,9.811262885078724
2086,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,9.570582793170654,9.091488410035412,10.049677176305897
2087,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,9.804498984478693,9.320948341979964,10.288049626977422
2088,East Asia & Pacific,0.23391619130803903,0.16841965774178813,0.29941272487429,10.038415175786731,9.550448968175868,10.526381383397597
